id_lettera;testo
Ammannati1;magnif messer francesc honor commission eccellt illustrissim far ven pi prest possibil cavall marm fontan piazz s altra volt scritt signor no esser poss far altro ridutt sin esso preg signor mand barchett carrar caric quel condott marin dev esser circ carr saragl dat aiut caric capit iacom dian pagher far bisogn caric tant promess grat no manc diss messer giovan caccin egli dis ve scrivess pens fra poch giorn esser egli pis mand preg lun laltr benifit eccellt pu mand barchett fat barcaiol port legn bordon grand poter caric dett marm perc barcaiol fors far dificult andar pez marm sol messer giovan vitor soderin ve n molt carr dic carichin egli pagher lordinar dov giudic altri voreb medesim barchett conduscess port sign far tut sol cos vantagg mand el marm el cavall firenz barcaiol ser pagh signor ved condur fac buon fin bisogn det marm cominc lavor tir innanz font piaz signor mod pot mand quel marm pis quel cavall grat mandatel nav oppur scaf mandatel grat faten merc tant pagger altro no occorr signor racom v messer giovan racomandatem firenz xvii gennai signor amorevol
Ammannati2;magnif messer giovann honor perc nonn prim oggi he domen esser sign far scaric colonn intend signor solec he fac solecit lastr condurn arno mand navicell sul rip darn carr tutav nemen grossez signor chies gran pez inov filos present chos comet ben el lastric sar diligent fategl aver diligenz buon cur navicell bisogn signor scriv messer lorenz corbol tut volt verrann mancher fargl caric senz esi perdin temp signor altra via comand me dett messer lorenz corbol scriv part eccellt illustr egli mander me dir el bisogn dargl frett cont dificult delaqu labas no potr far vogl eccellt illustrissim vore servit signor andre calamecc carr dett cass anton piccin caprai port pis salvator quarares pag nol el dett andre parl salvator suodet egli gi det no ric prieg signor content ritrov anton piccin sudet ved n fatt eso ritruov ogni mod ve preg perc priem assa desider dett andre el intent esser cos naspet rispost vorre signor messer vincent ferin invi argan gagliard fort prim fuss possibil perc dub quegl fatt provision no servin scaric colonn seben maggior sien qua altro no occorr signor raccom ancor mett scaric cred canap sien dur fatic firenz xxv dapril signor amorevol
Ammannati3;magnif messer giovann honor aut leter dì present barchett caric due pez colonn grand gran manda sub sign tut ordign scaric de miglior huomin tal efett pitt àno scaric no fus let poc indispost andat scaric bast cont dett scaricatur barcaiol no sà lament sè fatt prest pot signor scriv facc prez nol delav condott dett due pez pis sign tant content dic vogl risolv no vore far error dir ben pez gudic ordinar molt caus prim rovin barc vogl temp magior scaric caric insom fac fa sempr mal dic par scud migliai poc manten el pover padron scaf egli domand scud monet co scud egli aut signor par tropp dic pez circ migliai per intorn quarant scud preg piutost qualc cos manc signor laconc ella dar dia sub util barchaiuol perd poc temp riscuot può far piac sa signor signor scriv dic cont aver met tal spes cred vad cont tesaurer firenz cio messer agniol bifol lì aut danar spes colonn altro no ve saperre dir senz fin racom firenz xvi dicembr signor afetionatisim
Ammannati4;magnif messer francesc honor fatt intend messer giovan caccin chom eccellt illustrissim m’à commission intend mand barchett prim seravez condurr marm cavall font piazz solec el cos lho mand messer giovann egli dett ve scriv egli assa facc ve lho vol ricord preg prest pot mand barchett seravez cio spiagg mar lì post marm de’ due cavall altri mist dit barcaiol mott messer mate inghilan rafaell scalpellin sub caric sub mand pis danar nol oppur pagh firenz egli port port sign l’aqu alte signor mand quel pez marm ch’è pis quel cavall servit fors prim romp strad potr condurr co’ carr firenz pagh sì poss ademp vogl eccellt illustr racom firenz d’otobr signor amorevol amic
Ammannati5;magnif messer francesc honor man messer giovan caccin aut rispost dess dic ric laltr co migliai mist pag nol ancor cavall pag nol ancor quegl quel dett messer giovann dir barcaiul navicella avez mal veng qua stril tant vint fastid dà merit sempr vann insù talment vogl poi cal dic laltr dest tant poi pegg veng lament pis scus mostr vol serv talec ministr post croc tal canagl per par quand sent lament tort faret gastig misur carbon esempl altri ànno aut de scud migliai cos cert ingord mal fatt sio non avis trentase migliai no dav mai tant per dit vilan messer giovan dett vol far far stader pes piac assa ben senz biasim francesc ser iacom cred oggi rimess danar cio scud monet cos sempr per preg agevol negot quand avis servin eccellt cos comand altro no dir eccellt senz fin racom firenz xxi gennai signor amorevol amic
Michelangelo1;yesus dì ii lugl magnif lorenz etc sol avis chom sab pass giugnem a·ssalv e·ssub andam vicit el chardinal san giorg e·lli presenta letter parm vedess volentier voll inchontinent chi andass ved cert figur ochupa giorn per giorn dett laltr lett dipo domenic el chardinal venn chas nuov e·ffecem domand anda da·llu me domand pare chos ave vist intorn diss pare cert par molt bell chos dipo el chardinal domand bast lanim far qualchos bell rispos chi sì gran chos vedreb abiam chonper pez marm dun figur natural e·lluned chominc a·llavor dipo luned pass presenta laltr lett a·ppagol rucella el profers que danar bisogn simil que de chavalc dipo dett letter baldassarr domandagl el banbin chi render danar rispos molt aspr far prim cent pez banbin lave chonper ave lett chom egli ave sodisfatt gnien mand dubit davell a·rrend e·mmolt lament dic sparl èccis mess qualchun de fiorentin achord e·nnon ànno fatt nient ora fo chont far via chardinal chos chonsigl baldassarr balducc seghu intend altro a·vvo rachom dio mal guard michelagniol rom sandr botticell firenz
Michelangelo2;nom dio dì dagost karissim padr cet avisov venerd giuns qua bonarrot sep anda alloster trovall e·llu raguagl a·bboc fat diciem consigl merciai dà gran noi vuol acord mod nessun vuol far pigl dic veg dacordall qualc duc inanz riman dachord mandatemel dir ve mand no benc nab poch vò dett mingiegn dacatt acci sabb pigl danar mont dic bonarrot maravigl vabb scritt volt cos stizos chè ò volt gran passion molt cagion aveng fuor cas tols a·ffar figur pier de medic comp marm poi noll mai cominc à·ffatt promess qual cos me e·ffo figur piac comp pez marm duc cinqu buon ebi butt via que danar poi ricomp altro pez altri cinqu duc lavor piac sì dov cred anchi spend ò fatic pur chied ve mand sio dovess vend isti buonarrot giunt a·ssalv e·ttornas alloster camer ben manc mai null vorr star ò comod tenell mech cas altri bast chi lasc manc null san cos sper michelagniol rom domin lodovic buonarrot firenz
Michelangelo3;padr reverendissim ò intes chom spedaling mai torn fuor qual cos pot ven conchluxion pod chom desider nò passion anchi stim lavess orama tolt dub che·ll spedaling andat fuor arte sav spodest entrat ten danar el pod avisatem cos fuss cav danar man e·cterregl altrov de chas qua ben marm venissin part par aver grandissim disgrat mai poi stat dua dì buon temp sabact ven giorn fa barc ebe grandissim ventur chapit mal contratemp poi scaric sub venn el fium gross ricopersegl mod anchor ò pot cominc far nient pur do parol pap e·ctengol im buon speranz crucc mec sper temp sachonc chi cominc prest a·llavor dio vogl pregov pigl tuct quegl disegn cio tuct cart mess quel sach diss fardellect mandatemel vectural ved dachonc ben amor dellaqu abi cur quand lachonc no vad mal minim cart e·rrachomandatel vectural vè ciert cos import assa scrivetem me mand ò dar michel scriss mectess cass luog sicur copert poi sub veniss qua a·rrom manc chos nessun so fact preg vo gnien rament ancor preg dur poc fatic dua cos cio far riporr cass copert luog sicur laltr donn marm simil vorre faciess port chost cas las ved person mand danar dua cos stim pichol cos dovess achact fat farl prest marm giung mand danar scriss domand bonifat pag a·lluc quegl cinquant duc mand charrar macte chucherell iscrivess el nom cholu pag lecter manda apert mand charrar dect macte acci sapess egli andar luch pe dect danar chred lar fact preg scriv ancor me bonifat fa pag luch acci sapp el nom poss scriv a·mmacte charrar egli ndar luch pe dect danar altro mand altro scriv pann e·lle camic don giovan simon preg dio cos vadin ben ved spend ogni mod insin mill de duc terr siàn rimast dì trentun giennai mill cinqu cient michelagniol rom lodovic preg mand lecter fra mand va pier dargient preg e·llabb chred via deglingiesu landrebb ben spess suol andar que frat ve rachom a·llodovic lionard buonarrot simon firenz dat dogan fiorenz
Michelangelo4;giul ò intes chom pap vut a·mmal part chom santit dipoxit far fum dachord torn dub cos nessun part egli ver udi dir el sab sant pap parl chon gioell a·ctavol chol maestr cerimon vol spend baioc nè pietr pichol nè gross ondi pres amiration assa pur inanz partiss domanda part bixogn segu loper santit rispos torn luned torna luned marted mercholed gioved chom vid allultim el venerd mactin mand fuor cio cacc via quel tal me mand diss chonosc tal chommission ondi udit dect sab dect parol vegg poi lefect venn gran disperation sol cagion inter part pur altra cos vogl scriv bast chell fe pens a·rrom fuss fact prim sepultur pap chagion part sùb ora scriv part pap cos pap leg intend santit com dispost fuss mai a·ssegu loper vol far sepultur ogni mod debb dar noi dov me facc pur cap de cinqu anni siàn dachord mur sant pietr piac cos bell chom ò promess che·sson ciert se·ss fa par cos tuct el mond ora vuol santit seguit mectam dect dipox qua fiorenz dov scriverr ò ordin charrar molt marm qual ven qui chos ven cotest ò chost benc fuss dann assa me cur far tal oper qua mand man man cos fact mod santit pigliereb piac a·rrom vedrebb cos fact sanz avern altro fastid de dect danar dect oper mobrigherr santit vol darogl sicurt domand qua fiorenz vol lassicur ogni mod tuct fiorenz bast anchor vò dir dect oper possibil poss prez far a·rrom qual cos potr far qua molt comod cost ancor megl chon amor arò pens tant cos tant giul carissim preg rispost prest altro dì dua magg michelagniol scultor fiorenz maestr giul sanghall fiorentin architector pap rom
Michelangelo5;buonarrot ò·rriciev oggi diciannov dicembr rachomand pier orlandin serv domand sapp che·llu schriv facc far lam dun dagh facc che·ll cos mirabil tant so chom me potr serv prest ben lun profession laltr temp pot actend pur mingiegn infra mes serv el megl sap de fact massim giovan simon intes tuct piacem che·llu ripar bocteg egli abbi vogl far ben ò vogl daiut chom altri e·sse dio mai fact sempr isper quaresim aver fact ò far qua torn chost ogni mod vò promess de danar scriv giovan simon vol porr sur bocteg me parrebb glindug ancor quatr mes far schopp balen tract so mint bast digl part actend far ben e·sse pur voless danar tu·mm scriv bisogn torr cotest chost qua ò ancor mand ò pichol prez fo cos dubb potrebbem aven cos disfareb mond tant confort star patient poch mes tant torn cost de cas ven qua giovan simon consigl anchor son qua inn·un cact stanz ò comper lect sol stiàn quatr person are el mod accect richied ma·sse·llu vuol pur ven aspect abbi gict figur fo e·rrimanderonn lap e·llodovic maiut manderogl cavall acci veng comun best altro preg iddi me cos vadin ben michelagniol scultor bologn buonarrot lodovic buonarrot simon firenz dat bocteg lorenz stroz allart lan im port ross
